2018-09-10 10:30:21	Bobbie Gentry	Bobbie Gentry	I Saw An Angel Die
2018-09-10 10:33:22	Bobbie Gentry	Bobbie Gentry	Chickasaw County Child
2018-09-10 10:36:11	Bobbie Gentry	Bobbie Gentry	Sunday Best
2018-09-10 10:38:57	Bobbie Gentry	Bobbie Gentry	Niki Hoeky
2018-09-10 10:41:46	Bobbie Gentry	Bobbie Gentry	Papa, Won't You Let Me Go To Town With You
2018-09-10 10:55:34	Bobbie Gentry	Bobbie Gentry	Bugs
2018-09-10 10:57:45	Bobbie Gentry	Bobbie Gentry	Hurry, Tuesday Child
2018-09-10 11:01:41	Bobbie Gentry	Bobbie Gentry	Lazy Willie
2018-09-10 11:04:24	Bobbie Gentry	Bobbie Gentry	Ode to Billie Joe
2018-09-10 14:00:34	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Purple Haze
2018-09-10 14:03:25	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Manic Depression
2018-09-10 14:07:08	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Hey Joe
2018-09-10 14:10:38	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Love Or Confusion
2018-09-10 14:13:50	The Jimi Hendrix Experience	The Jimi Hendrix Experience	May This Be Love
2018-09-10 14:17:01	The Jimi Hendrix Experience	The Jimi Hendrix Experience	I Don't Live Today
2018-09-10 14:20:55	The Jimi Hendrix Experience	The Jimi Hendrix Experience	The Wind Cries Mary
2018-09-10 14:24:16	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Fire
2018-09-10 14:27:00	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Third Stone From The Sun
2018-09-10 14:29:43	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Third Stone From The Sun
2018-09-10 15:25:25	Jimi Hendrix	Jimi Hendrix	Foxy Lady
2018-09-10 15:41:10	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Are You Experienced?
2018-09-10 15:45:26	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Stone Free
2018-09-10 15:49:01	The Jimi Hendrix Experience	The Jimi Hendrix Experience	51st Anniversary
2018-09-10 15:52:18	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Highway Chile
2018-09-10 15:55:50	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Can You See Me
2018-09-10 15:58:23	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Remember
